mkt_ccode,dep_airport,cancel_code,arr_airport,day_week_name,month__name,route,mkt_fl_no,date,dep_delay_time_actual,arr_delay_time_actual,mins_late_delay_code_e_carrier,mins_late_delay_code_f_weather,mins_late_delay_code_g_nas,mins_late_delay_code_h_security,mins_late_delay_code_i_late_arr_flight,delay
DL,ATL,0,FLL,Thu,Jul,ATL-FLL,1502,7/21/22,-3,5,0,0,0,0,0,1
DL,SRQ,0,MSP,Sat,May,SRQ-MSP,1332,5/28/22,-4,-10,0,0,0,0,0,0
DL,DTW,0,BUF,Thu,Apr,DTW-BUF,2968,4/14/22,-3,-9,0,0,0,0,0,0
DL,DTW,0,CHA,Tue,Sep,DTW-CHA,5117,9/20/22,-5,-4,0,0,0,0,0,0
DL,SJC,0,SEA,Mon,Feb,SJC-SEA,4142,2/21/22,6,-3,0,0,0,0,0,0
DL,BIL,0,MSP,Wed,Sep,BIL-MSP,2836,9/28/22,-6,-10,0,0,0,0,0,0
DL,MDW,0,MSP,Fri,Sep,MDW-MSP,4067,9/9/22,-6,-22,0,0,0,0,0,0
DL,ELP,0,ATL,Sat,Aug,ELP-ATL,969,8/20/22,-1,-25,0,0,0,0,0,0
DL,MSP,0,BNA,Sat,Jun,MSP-BNA,3532,6/4/22,-2,-1,0,0,0,0,0,0
DL,JFK,C,CHS,Sat,Aug,JFK-CHS,4697,8/6/22,0,0,0,0,0,0,0,0
DL,CLT,0,LGA,Wed,Aug,CLT-LGA,5185,8/17/22,-5,-16,0,0,0,0,0,0
DL,SEA,0,DEN,Thu,Feb,SEA-DEN,2065,2/17/22,1,-4,0,0,0,0,0,0
DL,SAV,0,ATL,Tue,Mar,SAV-ATL,2698,3/22/22,15,2,0,0,0,0,0,1
DL,CHO,0,LGA,Mon,Aug,CHO-LGA,5302,8/22/22,311,291,253,0,0,0,38,1
DL,TPA,0,JFK,Thu,Aug,TPA-JFK,2561,8/18/22,-4,-33,0,0,0,0,0,0
DL,ANC,0,MSP,Tue,Jun,ANC-MSP,2927,6/28/22,-7,-24,0,0,0,0,0,0
DL,BJI,0,MSP,Sat,Apr,BJI-MSP,4276,4/16/22,-4,5,0,0,0,0,0,1
DL,ATL,0,MCO,Fri,Apr,ATL-MCO,889,4/8/22,11,12,0,0,0,0,0,1
DL,ORD,0,DTW,Sat,Mar,ORD-DTW,4464,3/12/22,5,7,0,0,0,0,0,1
DL,BJI,0,MSP,Sun,Mar,BJI-MSP,4276,3/27/22,-10,8,0,0,0,0,0,1
DL,FSD,0,ATL,Sat,Aug,FSD-ATL,2098,8/13/22,3,-2,0,0,0,0,0,0
DL,MCO,0,SLC,Wed,Apr,MCO-SLC,1540,4/20/22,-4,-9,0,0,0,0,0,0
DL,ATL,0,GSO,Fri,Mar,ATL-GSO,2503,3/25/22,-4,-6,0,0,0,0,0,0
DL,DEN,0,SLC,Tue,Jun,DEN-SLC,2584,6/7/22,1,-5,0,0,0,0,0,0
DL,PHX,0,DTW,Sun,Aug,PHX-DTW,746,8/7/22,4,6,0,0,0,0,0,1
DL,SLC,0,ORD,Wed,Jun,SLC-ORD,510,6/22/22,-4,-40,0,0,0,0,0,0
DL,MKE,0,MSP,Thu,Aug,MKE-MSP,2625,8/25/22,137,124,0,0,0,0,124,1
DL,DTW,0,JAX,Tue,Jul,DTW-JAX,2467,7/19/22,-4,-16,0,0,0,0,0,0
DL,BUR,0,SLC,Fri,Jan,BUR-SLC,3709,1/21/22,-7,-10,0,0,0,0,0,0
DL,DFW,0,SLC,Fri,Feb,DFW-SLC,2505,2/25/22,-3,-20,0,0,0,0,0,0
DL,MSP,0,ABR,Wed,Apr,MSP-ABR,4244,4/6/22,-2,-6,0,0,0,0,0,0
DL,FLL,A,JFK,Sat,May,FLL-JFK,1272,5/14/22,0,0,0,0,0,0,0,0
DL,DTW,0,PLN,Sat,Jul,DTW-PLN,4245,7/9/22,8,2,0,0,0,0,0,1
DL,DTW,0,HPN,Mon,Sep,DTW-HPN,4073,9/26/22,-2,-8,0,0,0,0,0,0
DL,DTW,0,CID,Tue,Jan,DTW-CID,4968,1/25/22,-5,-14,0,0,0,0,0,0
DL,LAX,0,IAH,Fri,Sep,LAX-IAH,773,9/16/22,-11,-18,0,0,0,0,0,0
DL,ATL,0,CLE,Wed,Jun,ATL-CLE,343,6/22/22,-3,-10,0,0,0,0,0,0
DL,MSP,0,CMH,Tue,May,MSP-CMH,3741,5/31/22,0,-5,0,0,0,0,0,0
DL,PVD,0,ATL,Tue,Sep,PVD-ATL,1247,9/6/22,-6,-6,0,0,0,0,0,0
DL,SAN,0,ATL,Thu,Feb,SAN-ATL,820,2/17/22,-2,-3,0,0,0,0,0,0
DL,RSW,0,ATL,Mon,Apr,RSW-ATL,2482,4/4/22,-5,-13,0,0,0,0,0,0
DL,ATL,0,DAB,Sat,Apr,ATL-DAB,2282,4/16/22,-5,-11,0,0,0,0,0,0
DL,STL,0,LGA,Sun,Jul,STL-LGA,4725,7/17/22,-1,-8,0,0,0,0,0,0
DL,IND,0,BOS,Fri,Aug,IND-BOS,5789,8/12/22,-6,-8,0,0,0,0,0,0
DL,DEN,0,SEA,Thu,Feb,DEN-SEA,3756,2/17/22,45,33,0,33,0,0,0,1
DL,LAX,0,IAH,Wed,Feb,LAX-IAH,773,2/9/22,-5,-18,0,0,0,0,0,0
DL,BZN,0,SLC,Fri,Sep,BZN-SLC,2686,9/9/22,-6,-10,0,0,0,0,0,0
DL,DEN,0,SLC,Mon,Jan,DEN-SLC,2513,1/3/22,-7,-20,0,0,0,0,0,0
DL,MSP,0,MCI,Mon,Mar,MSP-MCI,2881,3/28/22,0,-13,0,0,0,0,0,0
DL,PSC,0,MSP,Fri,Jul,PSC-MSP,3887,7/8/22,0,3,0,0,0,0,0,1
DL,SLC,0,BZN,Sat,Jul,SLC-BZN,3549,7/16/22,-4,-15,0,0,0,0,0,0
DL,SEA,0,BNA,Tue,Aug,SEA-BNA,1171,8/30/22,3,-4,0,0,0,0,0,0
DL,SYR,0,LGA,Thu,Mar,SYR-LGA,5431,3/3/22,67,46,0,0,46,0,0,1
DL,LAX,0,ATL,Thu,Jul,LAX-ATL,548,7/14/22,10,-9,0,0,0,0,0,0
DL,ATL,0,GRR,Wed,Sep,ATL-GRR,2463,9/21/22,-5,-13,0,0,0,0,0,0
